Date,Details,amount,Currency
07/15/23, DICK'S SPORTING GOODS INCCORAOPOLIS PA,-$47.06,USD
07/15/23, DICK'S SPORTING GOODS INCCORAOPOLIS PA,-$9.73,USD
07/23/23, TARGET 025817 09100025817SAN JOSE CA,-$10.95,USD
08/03/23, AMAZON MARKETPLACE NAPAAMZN.COM/BILL WA,-$218.74,USD
08/09/23, Account Ending 2-51002Customer Care &Billing InquiriesLarge Print &Braille Statements1-888-258-37411-888-258-3741Hearing Impairedamericanexpress.com Relay dial 711 1-888-258-3741Website:Customer Care&Billing InquiriesPaymentsTotalPaymentsCredits,"-$1,647.28",USD
07/07/23, WALMART.COM 8009666546 09920 BENTONVILLE AR,$50.92,USD
07/09/23, DICK'S SPORTING GOODS INC CORAOPOLIS PA,$56.79,USD
07/10/23, WALMART.COM 8009666546 09920 BENTONVILLE AR,$56.31,USD
07/10/23, AMAZON.COM AMZN.COM/BILL WA,$32.80,USD
07/11/23, TARGET.COM 800-591-3869 MN,$39.87,USD
07/11/23, TARGET.COM 800-591-3869 MN,$10.95,USD
07/11/23, AMAZON.COM AMZN.COM/BILL WA,$129.06,USD
07/11/23, IKEA GIFT CARD 877-850-1977 ME,$100.00,USD
07/11/23, AMAZON.COM AMZN.COM/BILL WA,$200.38,USD
07/12/23, Amazon Prime Amazon.com WA,$16.40,USD
07/12/23, AplPay UBER EATS help.uber.com CA,$35.01,USD
07/13/23, AMAZON MARKETPLACE NAPA AMZN.COM/BILL WA,$218.74,USD
07/13/23, AMAZON MARKETPLACE NAPA AMZN.COM/BILL WA,$66.04,USD
07/13/23, AMAZON.COM AMZN.COM/BILL WA,$36.91,USD
07/13/23, RENTSCREENER.COM 0471 ESTERO FL,$29.99,USD
07/15/23, AMAZON.COM AMZN.COM/BILL WA,$24.46,USD
07/16/23, AMC ONLINE 9640 LEAWOOD KS,$24.95,USD
07/17/23, AMAZON MARKETPLACE NAPA AMZN.COM/BILL WA,$26.24,USD
07/17/23, AplPay FIRST MART SAN JOSE CA,$35.49,USD
07/18/23, AplPay NIKE.COM AP2080 BEAVERTON OR,$61.46,USD
07/19/23, AplPay UBER EATS help.uber.com CA,$39.73,USD
07/21/23, AplPay UBER EATS help.uber.com CA,$30.51,USD
07/22/23, AplPay Uber Trip help.uber.com CA,$20.98,USD
07/22/23, AplPay NIKE.COM AP2080 BEAVERTON OR,$85.28,USD
07/22/23, AplPay MCDONALD'S FAIRFIELD CA,$41.75,USD
07/22/23, 7-ELEVEN 33646 00073364601 W.SACRAMENTO CA,$11.58,USD
07/22/23, PP*DUTCHBROSFA FAIRFIELD CA,$5.65,USD
07/22/23, ARCO#83236SHERGIL CORP 9155 WEST SACRAMEN CA,$37.94,USD
07/22/23, IKEA WEST SACRAMENTO 0000 WEST SACRAMEN CA,$144.00,USD
07/26/23, AplPay UBER EATS help.uber.com CA,$25.79,USD
08/02/23, Amazon Web Services AWS.Amazon.com WA,$22.07,USD
08/06/23, AplPay FIRST MART SAN JOSE CA,$35.49,USD
08/09/23, WALMART.COM WALMART.COM AR,$28.25,USD
